SKU;Total Cost;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Stock Coverage (days)
DRNI18DTG;5254,36;0,0;100,0;100,0;493,98;29,89
DRRK91SFW;38939,85;0,0;100,0;100,0;353,11;7,85
DRSF41ZYM;95668,64;1,51;98,99;98,49;2109,61;7,43
DTHH24RED;23412,24;0,0;100,0;100,0;133,57;7,65
DUNO11XHP;24147,05;0,0;100,0;100,0;1559,47;39,56
DUVM50USJ;268234,59;0,0;100,0;100,0;14253,58;8,09
DUVP29CJD;44911,45;0,0;100,0;100,0;889,86;12,06
DVIH38MJZ;22485,43;0,0;100,0;100,0;706,32;18,25
DVKW42JPW;13887,53;0,0;100,0;100,0;348,0;149,14
DWXW23ROK;6758,43;0,0;100,0;100,0;394,71;33,14
DYNA08VND;26335,38;0,0;100,0;100,0;1971,32;33,4
DYNJ09FYL;8674,57;6,58;98,99;93,42;954,1;73,59
DZTV28HGD;13159,21;0,0;100,0;100,0;222,17;20,33
DZUE62FEX;29960,43;1,68;98,99;98,32;464,2;16,05
EAFE90WKR;20222,72;0,0;100,0;100,0;736,4;11,03
EAVM81BXB;36450,04;0,0;100,0;100,0;744,51;19,1
EAZW56VJA;35004,87;0,0;100,0;100,0;437,13;10,75
EBBS11TLR;7548,42;0,0;100,0;100,0;631,88;25,0
EDRV73GXD;16131,07;0,0;100,0;100,0;641,8;32,51
EEPK36WCP;17826,64;0,0;100,0;100,0;758,03;13,92
EEVG71ZRL;1640946,79;0,0;100,0;100,0;149593,03;9,75
EFRT03INZ;3557779,25;0,0;100,0;100,0;113585,05;8,05
EGBS04MIC;59392,41;0,0;100,0;100,0;3268,57;10,6
EGDC22FMA;5031,4;0,0;100,0;100,0;839,6;68,41
EHMN85AVL;32344,2;7,84;97,47;92,16;1144,65;14,42
EILO87FSQ;155869,37;0,0;100,0;100,0;6832,39;13,88
EJEL16XKW;5698,27;0,0;100,0;100,0;859,42;108,39
EJNQ36YZQ;7464,84;0,0;100,0;100,0;180,3;66,23
EJXK43CIV;15201,06;0,0;100,0;100,0;494,5;22,78
EJYJ78YSW;9883,18;0,0;100,0;100,0;448,97;32,07
EKGC04LZQ;56478,66;0,0;100,0;100,0;1351,73;9,46
EKSV29ZXO;196477,54;0,0;100,0;100,0;1284,26;4,87
EKZD71FSB;1435,35;0,0;100,0;100,0;254,02;88,24
EMGH86RXJ;23758,92;1,93;99,49;98,07;5869,07;10,84
ENFR62LON;41272,38;0,0;100,0;100,0;1796,91;19,02
ENMS51USW;8140,01;0,0;100,0;100,0;729,97;79,5
EORW09QCA;120472,23;0,0;100,0;100,0;309,74;9,21
EOWT02POH;27494,76;0,0;100,0;100,0;1273,13;9,73
EPWC52AUO;593684,16;0,0;100,0;100,0;47376,48;7,51
EQUZ91VJN;6,16;0,0;100,0;100,0;205,36;22,37
ERIM01DPG;38096,43;0,0;100,0;100,0;376,95;10,85
ERIO34WXJ;48179,94;0,0;100,0;100,0;4787,73;12,37
ESGO82VKN;13904,5;26,42;96,97;73,58;161,43;10,4
ESNE13YPM;5589,19;3,7;98,99;96,3;65,15;11,94
ESNI97XJF;121330,8;0,0;100,0;100,0;8828,2;9,13
ETOZ73RPG;457522,53;0,0;100,0;100,0;10693,28;10,48
EUEC33VDU;6068,65;0,0;100,0;100,0;844,91;99,58
EUKN02AQD;3386,76;0,0;100,0;100,0;757,52;78,12
EUQJ35PNX;47759,66;0,0;100,0;100,0;2828,79;48,62
EVTW65WNM;33933,21;0,0;100,0;100,0;1001,6;12,22
EWFT71UVQ;255707,16;0,0;100,0;100,0;1328,82;9,4
EWIH71EDZ;117009,45;0,0;100,0;100,0;5431,23;15,06
EXHX97JSF;3174,72;0,0;100,0;100,0;441,11;69,87
EXPM07IKN;24859,07;0,0;100,0;100,0;267,68;10,61
EXUJ38JPL;3705,37;0,0;100,0;100,0;518,06;176,25
EYKJ62LHJ;1589,46;0,0;100,0;100,0;149,71;111,44
EZHF94FIP;243785,58;0,0;100,0;100,0;1261,13;6,97
FANH24JCJ;172377,23;0,0;100,0;100,0;3733,68;15,81
FAVC49ZQG;48528,95;0,0;100,0;100,0;732,21;4,99
FBAC36ALE;6238,12;5,11;98,48;94,89;414,11;18,71
FBKY82IGW;14251,22;0,0;100,0;100,0;372,8;12,84
FDNK25WTI;148303,46;0,0;100,0;100,0;1394,33;13,88
FDPC43EZS;35886,6;0,2;98,99;99,8;927,85;10,47
FEZS07UUZ;47123,15;0,0;100,0;100,0;1434,45;12,69
FFGT42CIV;60595,65;0,0;100,0;100,0;1082,32;25,51
FFIA76SPB;4183,2;0,0;100,0;100,0;1848,08;41,4
FFNZ08VUQ;77447,9;0,0;100,0;100,0;877,55;16,74
