Policy;Simulation;Stock Cost;Order Total Cost;Total Cost;Stock Out Rate (%);Alpha Service Level (%);Beta Service Level (%);Average Inventory Level;Stock Coverage (days);Total Demand;Total Stockout;Total SOH;Stockout Days;Total Days
Reorder Level Policy;2;47924,27;115627631,58;115675555,85;6,86;97,37;93,14;2165,31;5,08;105252763,0;7219591,0;534628582,0;6499;246906
Reorder Level Policy;3;46436,15;115627631,58;115674067,73;6,84;97,33;93,16;2150,76;5,05;105252763,0;7202018,0;531035171,0;6603;246906
Reorder Level Policy;4;48895,26;115627631,58;115676526,84;7,04;97,37;92,96;2219,83;5,21;105252763,0;7412043,0;548090517,0;6505;246906
Reorder Level Policy;5;47627,69;115627631,58;115675259,27;7,17;97,37;92,83;2182,95;5,12;105252763,0;7550406,0;538984455,0;6505;246906
Reorder Level Policy;6;48081,59;115627631,58;115675713,17;6,91;97,36;93,09;2183,2;5,12;105252763,0;7272384,0;539045673,0;6524;246906
Reorder Level Policy;7;47422,77;115627631,58;115675054,35;6,93;97,38;93,07;2164,77;5,08;105252763,0;7295250,0;534494503,0;6474;246906
Reorder Level Policy;8;46716,71;115627631,58;115674348,29;6,94;97,39;93,06;2151,34;5,05;105252763,0;7308634,0;531179561,0;6437;246906
Reorder Level Policy;9;47343,97;115627631,58;115674975,55;7,08;97,35;92,92;2169,02;5,09;105252763,0;7449000,0;535544374,0;6550;246906
Reorder Level Policy;10;47535,99;115627631,58;115675167,57;6,87;97,35;93,13;2172,38;5,1;105252763,0;7236113,0;536373605,0;6543;246906
Reorder Level Policy;11;48322,01;115627631,58;115675953,59;6,99;97,39;93,01;2193,02;5,14;105252763,0;7354588,0;541469274,0;6436;246906
Reorder Level Policy;12;48476,87;115627631,58;115676108,45;6,93;97,39;93,07;2191,44;5,14;105252763,0;7296674,0;541078798,0;6448;246906
Reorder Level Policy;13;47736,69;115627631,58;115675368,27;6,85;97,33;93,15;2161,41;5,07;105252763,0;7214170,0;533665231,0;6601;246906
Reorder Level Policy;14;47092,28;115627631,58;115674723,86;6,9;97,37;93,1;2141,24;5,02;105252763,0;7259756,0;528684904,0;6504;246906
Reorder Level Policy;15;46696,46;115627631,58;115674328,04;6,95;97,36;93,05;2151,23;5,05;105252763,0;7316110,0;531150471,0;6519;246906
Reorder Level Policy;16;48500,89;115627631,58;115676132,47;7,05;97,39;92,95;2210,0;5,18;105252763,0;7420511,0;545662141,0;6432;246906
Reorder Level Policy;17;47507,74;115627631,58;115675139,32;7,01;97,33;92,99;2145,26;5,03;105252763,0;7373944,0;529677984,0;6594;246906
Reorder Level Policy;18;47840,6;115627631,58;115675472,18;7,04;97,35;92,96;2197,56;5,16;105252763,0;7408975,0;542591243,0;6545;246906
Reorder Level Policy;19;47261,67;115627631,58;115674893,25;6,93;97,33;93,07;2145,57;5,03;105252763,0;7294523,0;529753725,0;6587;246906
Reorder Level Policy;20;47330,69;115627631,58;115674962,27;6,95;97,38;93,05;2147,95;5,04;105252763,0;7316923,0;530342612,0;6460;246906
Reorder Level Policy;21;47286,66;115627631,58;115674918,24;6,9;97,34;93,1;2153,37;5,05;105252763,0;7265126,0;531679799,0;6557;246906
Reorder Level Policy;22;49094,4;115627631,58;115676725,98;7,13;97,33;92,87;2219,62;5,21;105252763,0;7503128,0;548037619,0;6594;246906
Reorder Level Policy;23;47575,64;115627631,58;115675207,22;6,91;97,35;93,09;2146,76;5,04;105252763,0;7272422,0;530048829,0;6532;246906
Reorder Level Policy;24;47221,64;115627631,58;115674853,22;6,91;97,37;93,09;2166,36;5,08;105252763,0;7270561,0;534887220,0;6485;246906
Reorder Level Policy;25;47717,96;115627631,58;115675349,54;7,05;97,36;92,95;2181,67;5,12;105252763,0;7424052,0;538666470,0;6515;246906
Reorder Level Policy;26;47257,96;115627631,58;115674889,54;6,83;97,36;93,17;2144,75;5,03;105252763,0;7184865,0;529552433,0;6508;246906
Reorder Level Policy;27;47570,99;115627631,58;115675202,57;7,02;97,37;92,98;2162,22;5,07;105252763,0;7393596,0;533864321,0;6485;246906
Reorder Level Policy;28;47840,65;115627631,58;115675472,23;7,1;97,36;92,9;2205,02;5,17;105252763,0;7472074,0;544431994,0;6514;246906
Reorder Level Policy;29;48081,4;115627631,58;115675712,98;6,97;97,34;93,03;2214,51;5,19;105252763,0;7335695,0;546775220,0;6558;246906
Reorder Level Policy;30;48583,98;115627631,58;115676215,56;7,01;97,38;92,99;2208,65;5,18;105252763,0;7375282,0;545327731,0;6457;246906
Reorder Level Policy;31;47918,37;115627631,58;115675549,95;7,11;97,33;92,89;2165,8;5,08;105252763,0;7488328,0;534749831,0;6601;246906
Reorder Level Policy;32;47740,83;115627631,58;115675372,41;7,13;97,35;92,87;2193,07;5,14;105252763,0;7500081,0;541481556,0;6532;246906
Reorder Level Policy;33;47765,79;115627631,58;115675397,37;7,07;97,35;92,93;2173,52;5,1;105252763,0;7439157,0;536655819,0;6555;246906
Reorder Level Policy;34;46884,97;115627631,58;115674516,55;6,99;97,34;93,01;2186,28;5,13;105252763,0;7355777,0;539806840,0;6561;246906
Reorder Level Policy;35;47911,77;115627631,58;115675543,35;6,99;97,38;93,01;2163,86;5,08;105252763,0;7355465,0;534269600,0;6478;246906
Reorder Level Policy;36;47685,54;115627631,58;115675317,12;6,98;97,37;93,02;2174,67;5,1;105252763,0;7343615,0;536938453,0;6493;246906
Reorder Level Policy;37;46530,88;115627631,58;115674162,46;6,91;97,3;93,09;2127,85;4,99;105252763,0;7274307,0;525377810,0;6664;246906
Reorder Level Policy;38;47012,25;115627631,58;115674643,83;6,91;97,32;93,09;2172,62;5,1;105252763,0;7274497,0;536434080,0;6611;246906
Reorder Level Policy;39;48223,17;115627631,58;115675854,75;6,93;97,34;93,07;2159,52;5,07;105252763,0;7293364,0;533199203,0;6570;246906
Reorder Level Policy;40;47423,01;115627631,58;115675054,59;7,02;97,34;92,98;2227,15;5,22;105252763,0;7391306,0;549896626,0;6561;246906
Reorder Level Policy;41;48016,73;115627631,58;115675648,31;7,0;97,36;93,0;2160,03;5,07;105252763,0;7367327,0;533324326,0;6507;246906
Reorder Level Policy;42;47517,5;115627631,58;115675149,08;6,99;97,35;93,01;2210,41;5,19;105252763,0;7354230,0;545762803,0;6548;246906
Reorder Level Policy;43;47271,22;115627631,58;115674902,8;6,95;97,36;93,05;2152,99;5,05;105252763,0;7310736,0;531587276,0;6519;246906
Reorder Level Policy;44;46952,11;115627631,58;115674583,69;6,84;97,37;93,16;2137,61;5,01;105252763,0;7195820,0;527788307,0;6486;246906
Reorder Level Policy;45;48136,95;115627631,58;115675768,53;7,01;97,35;92,99;2182,07;5,12;105252763,0;7378948,0;538766423,0;6535;246906
Reorder Level Policy;46;47528,76;115627631,58;115675160,34;7,02;97,36;92,98;2175,63;5,1;105252763,0;7387200,0;537176499,0;6517;246906
Reorder Level Policy;47;47995,6;115627631,58;115675627,18;7,11;97,34;92,89;2188,32;5,13;105252763,0;7480728,0;540308927,0;6566;246906
Reorder Level Policy;48;46955,65;115627631,58;115674587,23;6,93;97,32;93,07;2159,4;5,07;105252763,0;7290634,0;533169564,0;6605;246906
Reorder Level Policy;49;48928,97;115627631,58;115676560,55;7,05;97,33;92,95;2233,29;5,24;105252763,0;7415654,0;551413444,0;6599;246906
Reorder Level Policy;50;46819,9;115627631,58;115674451,48;6,91;97,35;93,09;2154,18;5,05;105252763,0;7271129,0;531878774,0;6553;246906
Reorder Level Policy;51;47196,8;115627631,58;115674828,38;6,83;97,3;93,17;2154,63;5,05;105252763,0;7188088,0;531992035,0;6661;246906
Reorder Level Policy;52;48950,36;115627631,58;115676581,94;7,08;97,36;92,92;2202,95;5,17;105252763,0;7454753,0;543920399,0;6523;246906
Reorder Level Policy;53;47670,18;115627631,58;115675301,76;7,0;97,36;93,0;2175,3;5,1;105252763,0;7366601,0;537094531,0;6510;246906
Reorder Level Policy;54;47953,52;115627631,58;115675585,1;7,06;97,38;92,94;2197,09;5,15;105252763,0;7435301,0;542475530,0;6461;246906
Reorder Level Policy;55;48994,27;115627631,58;115676625,85;7,07;97,38;92,93;2220,86;5,21;105252763,0;7439258,0;548344751,0;6470;246906
Reorder Level Policy;56;47543,79;115627631,58;115675175,37;6,88;97,39;93,12;2161,42;5,07;105252763,0;7236404,0;533666941,0;6451;246906
Reorder Level Policy;57;47912,41;115627631,58;115675543,99;7,09;97,34;92,91;2184,91;5,13;105252763,0;7465741,0;539466362,0;6558;246906
Reorder Level Policy;58;48240,35;115627631,58;115675871,93;7,02;97,33;92,98;2215,12;5,2;105252763,0;7383975,0;546926217,0;6594;246906
Reorder Level Policy;59;47165,55;115627631,58;115674797,13;6,99;97,4;93,01;2150,58;5,04;105252763,0;7354282,0;530991485,0;6408;246906
Reorder Level Policy;60;46698,04;115627631,58;115674329,62;6,79;97,35;93,21;2154,74;5,05;105252763,0;7143081,0;532019022,0;6540;246906
Reorder Level Policy;61;48533,08;115627631,58;115676164,66;7,21;97,37;92,79;2233,27;5,24;105252763,0;7590659,0;551408253,0;6501;246906
Reorder Level Policy;62;46821,82;115627631,58;115674453,4;6,97;97,37;93,03;2147,91;5,04;105252763,0;7337736,0;530332440,0;6482;246906
Reorder Level Policy;63;47302,9;115627631,58;115674934,48;6,99;97,34;93,01;2177,19;5,11;105252763,0;7360337,0;537561263,0;6559;246906
Reorder Level Policy;64;47951,3;115627631,58;115675582,88;6,93;97,33;93,07;2153,88;5,05;105252763,0;7293174,0;531806191,0;6598;246906
Reorder Level Policy;65;46597,41;115627631,58;115674228,99;6,83;97,34;93,17;2146,77;5,04;105252763,0;7187078,0;530050854,0;6571;246906
Reorder Level Policy;66;46413,09;115627631,58;115674044,67;7,08;97,34;92,92;2177,13;5,11;105252763,0;7448031,0;537547484,0;6569;246906
Reorder Level Policy;67;48731,67;115627631,58;115676363,25;6,98;97,37;93,02;2169,02;5,09;105252763,0;7343232,0;535543101,0;6504;246906
Reorder Level Policy;68;49114,25;115627631,58;115676745,83;7,25;97,36;92,75;2228,42;5,23;105252763,0;7629961,0;550210971,0;6521;246906
Reorder Level Policy;69;47684,51;115627631,58;115675316,09;6,99;97,38;93,01;2189,94;5,14;105252763,0;7356689,0;540708410,0;6460;246906
Reorder Level Policy;70;47439,7;115627631,58;115675071,28;6,94;97,31;93,06;2206,85;5,18;105252763,0;7304506,0;544884392,0;6642;246906
Reorder Level Policy;71;47776,99;115627631,58;115675408,57;6,92;97,35;93,08;2165,42;5,08;105252763,0;7285720,0;534655379,0;6550;246906
Reorder Level Policy;72;48081,69;115627631,58;115675713,27;6,97;97,34;93,03;2176,64;5,11;105252763,0;7332379,0;537426541,0;6579;246906
Reorder Level Policy;73;47319,72;115627631,58;115674951,3;6,86;97,38;93,14;2143,36;5,03;105252763,0;7216992,0;529207597,0;6470;246906
Reorder Level Policy;74;48168,5;115627631,58;115675800,08;7,02;97,41;92,98;2191,25;5,14;105252763,0;7387306,0;541032825,0;6393;246906
Reorder Level Policy;75;48562,25;115627631,58;115676193,83;6,93;97,36;93,07;2200,57;5,16;105252763,0;7291085,0;543334846,0;6526;246906
Reorder Level Policy;76;48031,91;115627631,58;115675663,49;6,86;97,37;93,14;2161,31;5,07;105252763,0;7220347,0;533640157,0;6487;246906
Reorder Level Policy;77;46875,32;115627631,58;115674506,9;6,93;97,36;93,07;2163,18;5,07;105252763,0;7292305,0;534101573,0;6530;246906
Reorder Level Policy;78;48068,94;115627631,58;115675700,52;6,89;97,37;93,11;2148,58;5,04;105252763,0;7249714,0;530497668,0;6504;246906
Reorder Level Policy;79;48029,6;115627631,58;115675661,18;6,97;97,32;93,03;2163,22;5,07;105252763,0;7332875,0;534112582,0;6623;246906
Reorder Level Policy;80;48441,09;115627631,58;115676072,67;7,07;97,37;92,93;2189,66;5,14;105252763,0;7441981,0;540640521,0;6488;246906
Reorder Level Policy;81;48158,91;115627631,58;115675790,49;7,24;97,33;92,76;2226,83;5,22;105252763,0;7624669,0;549818783,0;6583;246906
Reorder Level Policy;82;46957,02;115627631,58;115674588,6;6,96;97,36;93,04;2144,07;5,03;105252763,0;7330636,0;529383052,0;6527;246906
Reorder Level Policy;83;46885,51;115627631,58;115674517,09;6,91;97,34;93,09;2156,98;5,06;105252763,0;7274264,0;532571218,0;6572;246906
