sku,MAE,RMSE,MAPE (%),wMAPE (%),Bias,Hit Dir. (%),Max Overflow,Max Shortfall,Final Drift,Avg Actual,Avg Predicted,Max Actual,Days
JXEP23KJD,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
KCIY54HNO,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
KPTH63SGI,0.0,0.0,,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,220
KULJ26EKZ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
KWKM50YIG,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
KZED14HPA,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
LBPQ78GTC,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
LCFH27KZH,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
LCVR29ACG,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
LCXK18YSO,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
LDOV36UYN,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
LEEP15CWB,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
LEVV06RIX,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
LGWF96XHU,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
LMMU50ECF,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
LNIX75BDO,0.02,0.17,,,0.02,1.8,4.7,1.6,4.7,0.0,0.0,0,220
LNQQ61TYC,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
LPSK36YZZ,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
LPVX70HEJ,0.02,0.14,,,0.02,2.3,3.6,1.5,3.6,0.0,0.0,0,220
LRGS37YWS,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
LWPS96OLL,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
LXET45AHF,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
MEGD78QVV,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
MGJB16OED,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
MIVR79SDK,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
MJVJ94QNF,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
MMQX36VUW,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
MNLS23DPV,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
MORV55MMK,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
MPKN96JJB,0.15,0.97,,,0.15,0.0,33.6,9.5,33.6,0.0,0.2,0,220
MRAE72ZNU,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
MYLG65VAL,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
